,title,description,average_score,number_of_reviews,type
1294,Adventure Gaming,"From the introduction: You are the Adventurer! This special publication includes THREE GAMES designed to introduce you to Adventure Gaming. Plus - game buyer's guide, hints on play, history of gaming Science Fiction: The Creatures That Ate New York Military History: Napoleon at Waterloo 18 June 1815 Fantasy Role-Playing: The Tower of Azann - a Magical Quest User summary: The Creatures That Ate New York is a board game; Napoleon at Waterloo is a hex-and-chit wargame; The Tower of Azann is a peculiar, simple roleplaying game.",0.0,0,TTRPG
1295,The Official Superhero Adventure Game,"A self-published miniatures based RPG of superhero combat from 1981. The game utilized a custom set of superheros rather than licensed characters. Comes with character cards for 50 heroes and villains and notably omits any rules for creating new ones. More a combat game than a role-playing game, though there are some notes on roleplaying and even experience.",0.0,0,TTRPG
1298,TSR Hobbies' Games & Accessories - Your Gateway to Adventure,TSR Hobbies' Games & Accessories - Your Gateway to Adventure was a secondary TSR catalog for 1981.,0.0,0,TTRPG
1299,Mini Module M2: The Priest of Evil,"This ""mini module"" is a fan-created, hand-written scenario. It was created in 1981 and published as a PDF in 2012. Several versions have enjoyed wide circulation since abt. 2015 as either collected JPG files or PDFs with various formats. It is intended for a single player character of low level with an estimated play time of two hours.",0.0,0,TTRPG
1300,Asphodel Inn,"Publisher Description A complete fantasy adventure set in the world of Acquitaine . . . with the inn, basement, caves and surrounding terrain.",0.0,0,TTRPG
1326,Amazon Mutual Wants You!,"From the covers: ""Four short adventures for use with D&D and AD&D: Temple of the Four Gods, Stronghold of the Mer-Witch, Mission to Danger, and Grimethorp's Manor. Four short modules suitable for low-level thinkers or med-high level hackers. This edition includes: pre-figured experience points, plot summaries, monster/trap summaries, and character levels for different styles of play.""",0.0,0,TTRPG
1328,The Egg of the Phoenix,"From the back of the module: In the lonely town of Northending, the Council of Five has called the famous Paladin Athelstan to their aid. The fabulous artifact known as the Egg of the Phoenix has disappeared. It was stolen by evil beings and hidden far away - in the Negative Material Plane itself, guarded but a real Phoenix! This is the third of the RPGA series of AD&D modules. Each RPGA module has been used at an official GEN CON tournament, and has been designed to provide maximum entertainment. THE EGG OF THE PHOENIX is usable in campaign or tournament play (using the unique RPGA Tournament System, included herein), and is designed for a balanced party of 5-8 characters of levels 5-9. The original 6 tournament characters are provided, along with detail and overview maps, scenario and character background information, and detailed encounter descriptions for the Dungeon Master.",0.0,0,TTRPG
1330,Jonril:  Gateway to the Sunken Lands,"Jonril: Gateway to the Sunken Lands is a fully populated, predominantly human city designed to be used with the Midkemian Game System, The Tome of Midkemia. It is also compatible with most of the currently available fantasy role player games, and, with some modification, with some science-fiction role playing games and modern military role playing games. Jonril is a truly cosmopolitan city, drawing people from many parts of Triagia (the largest continent upon Midkemia). From as far distant as the King's city of Rillanon and the heart of the Empire of Kesh come traders and adventurers seeking riches from the Sunken Lands. This accounts for the high number of foreigners residing in Jonril. Jonril is a city with little internal constraints upon business, or tariffs upon trade, though some drugs are contraband. The small import/export duty and the few contraband goods means smuggling in Jonril is done on a small scale.",0.0,0,TTRPG
1337,Beastmaker Mountain,"From the back cover: The massive, black monolith dominates the small valley. At its base is the long abandoned villa of the Wizard Orlow. Its open door beckons adventurers to their fortune...or their fate.",0.0,0,TTRPG
1388,The Egyptian Trilogy,"Adventure 2, Episode 1, 2 & 3 From the back cover: You stand before an ancient stone monument at Giza. Though dwarfed by the great pyramids, it possesses the answer to a mighty mystery. For hidden inside, in some secret, long forgotten, chamber rests the power to destroy the old gods and to allow one man to rule Egypt. In addition to all three Episodes of Adventure Number 2 this module expands the Man, Myth & Magic system by adding ... 31 New Character Classes, including Physicians and Alchemist! Nearly 70 new Magic Spells, Charms, Amulets and Concoctions! New Poisons! Dozens of new weapons and armor classes! Rules for Charioteers!",0.0,0,TTRPG
1389,Runequest Character Sheets,"Taken from the advert in White Dwarf (Issue 37 - Jan 1983) Character & Adventure Sheets for Runequest Games Workshop have revised and amended the character record sheet as published in the Runequest rule book so that players can have a permanent and east-to-read record of their character without damaging their copy of the game. We have also designed a smaller ""adventure sheet"" which is ideal for use during adventures. The sheet covers spells in mind, equipment, current finances, damage and remaining hits and power points. You get 30 character sheets and 80 adventure sheets for just £1.99.",0.0,0,TTRPG
1396,The Wine of the Moon,"User Summary Supplement for the Ysgarth Rule System that examines several areas of play. It includes new skills, character classes, an experience system, deities, and more. Also includes an adventure.",0.0,0,TTRPG
1403,FTL: 2448 The Game of Role-Playing in Space (1st Ed),"From the introduction: Faster Than Light 2448 is a role playing game of planetary exploration and adventure in the not so far future. You will become a human or alien in a time of exploration and corporate expansion. Fortunes can be made and lost by the seldom considered individual. You will travel to worlds of wealth or poverty, work hells or worlds built on ideals. Aliens and robots will be your friends as you travel the frontiers of settled space. In FTL you will find no Galactic Empires of Star Kings, Dreadnaughts, Battle Cruisers, or planet destroying Galactic Rangers. You will find real people interacting with alien cultures under the watchful eyes of a police agency dedicated to fairness and peace. Welcome to 2448.",0.0,0,TTRPG
1423,Through Dungeons Deep: A Fantasy Gamers' Handbook,"from the author I spent a good fraction of my college days playing Dungeons & Dragons when I should have been studying. In the process, I discovered a wealth of ideas and techniques in how to play well and be a good Dungeon Master. I wrote these up in Dragon Magazine and others. One day I discovered that my list of topics looked more like a table of contents than a list of future magazine articles, so I began writing Through Dungeons Deep.",0.0,0,TTRPG
1429,Places of Mystery I - Chilling Chambers,"from the back cover Adventure, Anyone? ...Because of the dirt, trash, and wood chips that litter the floor, it is difficult to notice the pentacle lightly chiseled into a single, large flagstone. The dried bodies of various small beasts, including a bat, several fish, two snakes, and a rat, hang by pieces of string attached to the beams. Hanging above the table, is a human arm, the dried bones brown and stiff... ...the rolled-up parchment contains two scribbled and scrawled verses that take some work to decipher. They read, ""The green dragon has been slain. The crowned king of beasts devours."" and, ""The birds s are driven from the vile body of the dragon and allowed to fly to Heaven, only to return again:... ...Bleached bones are found within the ""stew"" formed by the dissolving bodine... What does our party do?",0.0,0,TTRPG
