,title,description,average_score,number_of_reviews,type
1237,Submachine Gun,"Publisher's description from front cover: ""Could YOU have led the disastrous British commando raid on Rommel's HQ to victory instead of defeat? Have you got what it takes to jump out of a plane in a German uniform on a moonless night, knowing if you are captured you will be shot as a Spy? Have you ever wanted to blow up an airfield? Here's your chance!"" ""Submachine Gun is a role-playing game featuring commando raids of the Second World War. It contains complete, easy to understand rules for arming and leading both the raiders and the defenders, including sections on: American, British and German small arms plus tanks, bunkers, flamethrowers, mines, demolition charges, martial arts, artillery, night raids, use of German uniforms, garrison confusion and much more. The only other things you need are paper, pencil, some dice, imagination and guts. Good luck!""",0.0,0,TTRPG
1238,Ironhoof Highlands,"From the back cover: Ironhoof Highlands An Adventure Campaign Set in a Fantasy World. Add zest to any fantasy-role-playing-game with Group One's new adventure campaign system. The first release, Ironhoof Highlands, sets the stage for a world-wide campaign that offers adventure in the same epic style as the great fantasy novels.",0.0,0,TTRPG
1240,Starweb,"STARWEB a play-by-mail game of star-spanning empires RULES for playing the multi-player strategic space game by FLYING BUFFALO INC. - from the front of the book At the front there is a title page, copyright page and Order of Content page. Has 17 numbered pages plus a Starweb Turnsheet, Sample Starweb Game Printout, Sample Starweb Map, and Index. Inside the front cover there’s also a loose double-sided page titled “News Flash! New Starweb Program Now Running”.",0.0,0,TTRPG
1241,Escape from the Minotaur's Lair,The player characters are called upon to rescue a hand maiden who has been kidnapped by an evil minotaur. For 4-6 characters of 1-3 level.,0.0,0,TTRPG
1242,La Legion Etrangere,"Publisher's catalog description: Rules for miniatures and role-playing in the heydey of the French colonial empire, including charts, diagrams, and maps for donning your white kepi and fighting with the French Foreign Legion. From the rulebook: ""A role-playing game of the French Foreign Legion 1850-1930."" ""This is a set of miniatures and role-playing rules, and as such has two separate combat systems. Although these systems are separate in the functions they fulfill, they are integrated in the sense that it allows an individual to take part in a larger action."" ""With a GM, this booklet is intended as a jumping-off place, a beginning spot, and not intended as the all inclusive and definitive set of rules for the French Foreign Legion."" ""[T]he intent of this set of rules is to create the atmosphere of the days of glory that existed at the end of the 19th century and in the early days of the twentieth century, days when patriotism and colonialism were not necessarily curse words."" User summary: The game's character attributes are Strength, Firearms Accuracy, Dexterity/Agility, Hand to Hand Combat, Constitution, and Military Ability.",0.0,0,TTRPG
1252,The City of Valla,"The City of Valla consists of two large maps that are joined together to present a single large city, providing an unusually detailed city environment (for its time). The product is two folded maps, each expanding to 22"" x 18"" when unfolded. The back of the map pages are blank.",0.0,0,TTRPG
1260,The Burgundy Pit,From the front cover: A complete fantsy dungeon adventure!,0.0,0,TTRPG
1264,Periastron,"From the cover: This folio adventure is designed for characters of almost any background attached to a Trade Pioneer Team aboard the Type A2 Far Trader Scotian Huntress. The referee may draw characters from any source desired, including existing campaigns. It is urged that characters have some skill in ground combat.",0.0,0,TTRPG
1272,Code Name: Nova,"From the rulebook: ""This booklet is a supplement to the Merc-D.O.W. set of rules. It is to incorporate the weapons used by the Russians and Warsaw Pact countries. Also it will have expanded rules for armor and armored combat.""",0.0,0,TTRPG
1275,The Ring of Gilrod,This introductory adventure finds the beginning characters in a difficult predicament from which escape seems impossible.,0.0,0,TTRPG
1276,Striker: Rules for 15mm Traveller Miniatures,"From the back of the box: The Universe of Traveller - Communication is limited to the speed of courier ships. Remote central governments exercise only limited control over the affairs of their frontier territories. Megacorporations struggle for control of sparsely settled mineral-rich worlds. And everywhere, there are mercenaries for hire to settle disputes. Striker fills an important place in the Traveller universe - rules for ground combat with 15mm figures and vehicles. The basic combat system used in Striker is based on the popular Azhanti High Lightning game system. The movement system is simplified for use with larger forces and a ground scale of 1""=25 meters. The basic rules are written with the beginning miniatures player in mind and can easily be used as a combat resolution system for existing Traveller games. All weapons and vehicles covered in Traveller and Mercenary (Book 4) are rated for use in the game. The true value of Striker, however, lies with the advanced rules. A complete system for designing armored vehicles and aircraft at different tech levels is presented, along with air-to-air and air-to-ground combat rules. The package contains everything a Traveller adventurer needs for campaigning with miniatures.",0.0,0,TTRPG
1278,The Nine Doctrines of Darkness: The Second Adventure,"from the back cover: GATES OF DOOM! High on the cliffs of a secluded gorge, deep in snow-capped mountains, twin gate loom. What dangers lay beyond them? Evil beyond imagining, worship of a dark god, knowledge hidden for centuries, a black book...",0.0,0,TTRPG
1283,Town of Joundan,From the back cover: The town lies as a front for the evil and secret workings of Began and Desan... And thus the adventurers reach the end of their long quest. Before them stands the the wild and evil town of Joundan. A complete adventure or the conclusion of a three-part campaign. An adventure for levels 7 - 10.,0.0,0,TTRPG
1287,Aliens for Traveller,"This was a very early publication given out at conventions detailing aliens in the Traveller universe. Some of the names changed later but listed in the book are: Humans (Including Zhodani, Vilani Solomani and others), Aslan, Centaurs, Vargr, Droyne and ""The Hive.""",0.0,0,TTRPG
1289,Mini Module M1: The Maze of Death,"This ""mini module"" is a fan-created, hand-written scenario. It was created in 1981 and published as a PDF in 2012. Several versions have enjoyed wide circulation since abt. 2015 as either collected JPG files or PDFs with various formats. It is intended for a single player character of low level with an estimated play time of 90 minutes.",0.0,0,TTRPG
1292,Sewerville Shootout,From the front of the book: A Laserburn Scenario,0.0,0,TTRPG
